UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
169983, 1,"R",1858,"R",292,"R",1,"R",1565,"R",181,"R",84,"R",25,"R",2,"R",0
169983, 2,"R",1516,"R",2,"R",1,"R",1513,"R",2,"R",0,"R",0,"R",0,"R",0
169983, 3,"R",1496,"R",2,"R",1,"R",1493,"R",2,"R",0,"R",0,"R",0,"R",0
169983,11,"R",20,"R",0,"R",0,"R",20,"A",,"A",,"A",,"A",,"A",
169983,12,"R",342,"R",290,"R",0,"R",52,"R",179,"R",84,"R",25,"R",2,"R",0
169992, 1,"R",857,"R",232,"R",288,"R",337,"R",221,"R",11,"R",0,"R",0,"R",0
169992, 2,"R",857,"R",232,"R",288,"R",337,"R",221,"R",11,"R",0,"R",0,"R",0
169992, 3,"R",579,"R",139,"R",239,"R",201,"R",132,"R",7,"R",0,"R",0,"R",0
169992,11,"R",278,"R",93,"R",49,"R",136,"R",89,"R",4,"R",0,"R",0,"R",0
170000, 1,"R",1104,"R",586,"R",19,"R",499,"R",110,"R",474,"R",0,"R",2,"R",0
170000, 2,"R",1049,"R",531,"R",19,"R",499,"R",93,"R",437,"R",0,"R",1,"R",0
